	year	month	arr_flights	arr_del15	 arr_delay	delay_type	value
0	2004	1	583987	128236	6509522	 carrier_delay	1723185
1	2004	2	553876	114517	5388895	 carrier_delay	1331459
2	2004	3	601412	104031	4986958	 carrier_delay	1288518
3	2004	4	582970	93754	4217846	 carrier_delay	1161420
4	2004	5	594457	121019	6981742	 carrier_delay	1521686
5	2004	6	588792	148726	8257792	 carrier_delay	1946065
6	2004	7	614166	135999	7570677	 carrier_delay	1971727
7	2004	8	623107	123884	6704797	 carrier_delay	1718626
8	2004	9	585125	75147	3706807	 carrier_delay	1085339
9	2004	10	610037	108341	4783704	 carrier_delay	1308635
10	2004	11	584610	113696	5731901	 carrier_delay	1474893
11	2004	12	606731	154041	8247684	 carrier_delay	2301520
12	2005	1	594923	143316	7621044	 carrier_delay	2067784
13	2005	2	545332	111897	5470941	 carrier_delay	1492652
14	2005	3	617540	131384	6825241	 carrier_delay	1848181
15	2005	4	594492	90137	4264225	 carrier_delay	1335380
16	2005	5	614802	93619	4564393	 carrier_delay	1385037
17	2005	6	609195	139742	7817086	 carrier_delay	2065172
18	2005	7	627961	166767	10281610	 carrier_delay	2516919
19	2005	8	630904	141431	7580697	 carrier_delay	2164422
20	2005	9	574253	87235	4050498	 carrier_delay	1349963
21	2005	10	592712	99904	4991000	 carrier_delay	1381005
22	2005	11	566138	106543	5203843	 carrier_delay	1522750
23	2005	12	572343	154090	7829941	 carrier_delay	2312615
24	2006	1	581287	112299	5852565	 carrier_delay	1716094
25	2006	2	531247	118610	5930072	 carrier_delay	1658066
26	2006	3	605217	135897	6994427	 carrier_delay	1896227
27	2006	4	585351	118715	5972654	 carrier_delay	1687855
28	2006	5	602919	122693	6388249	 carrier_delay	1726870
29	2006	6	598315	150683	8832066	 carrier_delay	2488811
30	2006	7	621244	150771	8902264	 carrier_delay	2599148
31	2006	8	628732	140784	7646042	 carrier_delay	2246758
32	2006	9	584937	127900	7028322	 carrier_delay	1838438
33	2006	10	611718	153067	8328588	 carrier_delay	2129345
34	2006	11	586197	126990	6611296	 carrier_delay	1783605
35	2006	12	604758	157128	8700494	 carrier_delay	2484077
36	2007	1	621559	150144	7856768	 carrier_delay	2200212
37	2007	2	565604	158435	8883527	 carrier_delay	2618501
38	2007	3	639209	152689	8593413	 carrier_delay	2548581
39	2007	4	614648	136991	7442252	 carrier_delay	2078632
40	2007	5	631609	131298	6864579	 carrier_delay	1919316
41	2007	6	629280	181502	11431169	 carrier_delay	2992281
42	2007	7	648560	180319	10815811	 carrier_delay	3008057
43	2007	8	653279	170851	10065908	 carrier_delay	2866013
44	2007	9	600187	102383	5294460	 carrier_delay	1748246
45	2007	10	629992	128977	6674331	 carrier_delay	1908292
46	2007	11	605149	113680	5782072	 carrier_delay	1726179
47	2007	12	616382	196759	11261442	 carrier_delay	3212760
48	2008	1	605765	148807	8366662	 carrier_delay	2355954
49	2008	2	569236	156237	9021911	 carrier_delay	2398296
50	2008	3	616090	157370	8849075	 carrier_delay	2527895
51	2008	4	598126	122169	6444535	 carrier_delay	1926766
52	2008	5	606293	120126	6213330	 carrier_delay	1722631
53	2008	6	608665	164260	9872272	 carrier_delay	2482267
54	2008	7	627931	140050	8764946	 carrier_delay	2417097
55	2008	8	612279	120481	7096074	 carrier_delay	2130584
56	2008	9	540908	71149	3633943	 carrier_delay	1218688
57	2008	10	556205	73517	3507010	 carrier_delay	1145054
58	2008	11	523272	81922	4318569	 carrier_delay	1121975
59	2008	12	544956	168647	10549666	 carrier_delay	2601010
60	2009	1	532339	108656	5611991	 carrier_delay	1553366
61	2009	2	488410	78087	4103172	 carrier_delay	1138257
62	2009	3	557422	107408	5927648	 carrier_delay	1565861
63	2009	4	537793	102681	6082404	 carrier_delay	1509781
64	2009	5	546832	100688	5226313	 carrier_delay	1379106
65	2009	6	557594	122886	7227702	 carrier_delay	1965403
66	2009	7	580134	121429	6845519	 carrier_delay	2013731
67	2009	8	568301	108382	5983797	 carrier_delay	1801093
68	2009	9	510852	66762	3314004	 carrier_delay	1123914
69	2009	10	531799	114549	5800543	 carrier_delay	1526817
70	2009	11	509540	54740	2619958	 carrier_delay	937489
71	2009	12	529269	132020	7262768	 carrier_delay	1991245
72	2010	1	521809	96928	5124918	 carrier_delay	1578882
73	2010	2	483270	95021	5125358	 carrier_delay	1465833
74	2010	3	549262	100534	5504552	 carrier_delay	1649112
75	2010	4	529330	73184	3670504	 carrier_delay	1232548
76	2010	5	542747	100683	5633379	 carrier_delay	1588921
77	2010	6	551687	120007	6932380	 carrier_delay	2023987
78	2010	7	570788	122900	7007931	 carrier_delay	2119493
79	2010	8	569217	97597	5225837	 carrier_delay	1673889
80	2010	9	526107	72738	3639279	 carrier_delay	1164541
81	2010	10	545519	82391	4254474	 carrier_delay	1306074
82	2010	11	520999	83138	3930223	 carrier_delay	1257261
83	2010	12	539382	129763	7208663	 carrier_delay	2156964
84	2011	1	494400	97078	5031105	 carrier_delay	1538345
85	2011	2	455516	92709	5045776	 carrier_delay	1463091
86	2011	3	526687	101542	5450447	 carrier_delay	1637022
87	2011	4	507024	112528	6356338	 carrier_delay	1731194
88	2011	5	520612	107145	6353443	 carrier_delay	1687179
89	2011	6	528588	111137	6609930	 carrier_delay	1998069
90	2011	7	547219	110478	6650110	 carrier_delay	1984345
91	2011	8	541442	96632	5747490	 carrier_delay	1755406
92	2011	9	487468	73512	3888719	 carrier_delay	1235940
93	2011	10	504397	68219	3441542	 carrier_delay	1169218
94	2011	11	478040	66279	3335437	 carrier_delay	1084221
95	2011	12	493888	72613	3765605	 carrier_delay	1269211
96	2012	1	486133	70908	3850425	 carrier_delay	1191729
97	2012	2	464826	58987	2992529	 carrier_delay	1055852
98	2012	3	521628	86476	4744040	 carrier_delay	1534771
99	2012	4	505218	63639	3310043	 carrier_delay	1188623
100	2012	5	518423	80453	4486545	 carrier_delay	1428053
101	2012	6	526933	94684	5526265	 carrier_delay	1794914
102	2012	7	545131	121396	7643674	 carrier_delay	2170627
103	2012	8	540793	104434	6166141	 carrier_delay	1916579
104	2012	9	490199	77075	4262193	 carrier_delay	1405706
105	2012	10	515254	86545	4466517	 carrier_delay	1470511
106	2012	11	488006	63834	3443886	 carrier_delay	1200259
107	2012	12	494218	106727	6024434	 carrier_delay	1807832
108	2013	1	509519	88210	4798252	 carrier_delay	1564374
109	2013	2	469746	83565	4493830	 carrier_delay	1415721
110	2013	3	552312	101743	5704792	 carrier_delay	1666872
111	2013	4	536393	111306	6648035	 carrier_delay	1808722
112	2013	5	548642	105278	6097504	 carrier_delay	1674148
113	2013	6	552141	143184	9360395	 carrier_delay	2439539
114	2013	7	571623	142559	8728724	 carrier_delay	2448255
115	2013	8	562921	112650	6111797	 carrier_delay	1852201
116	2013	9	510806	77134	4196632	 carrier_delay	1288132
117	2013	10	535344	81338	3918255	 carrier_delay	1293737
118	2013	11	503296	77352	3945789	 carrier_delay	1294123
119	2013	12	516739	144958	7933597	 carrier_delay	2391073
120	2014	1	471949	119994	7687929	 carrier_delay	2384451
121	2014	2	430602	101440	5817661	 carrier_delay	1762191
122	2014	3	503758	102297	5352248	 carrier_delay	1723617
123	2014	4	483499	91806	4879163	 carrier_delay	1489021
124	2014	5	499278	104145	6093824	 carrier_delay	1772666
125	2014	6	502617	129706	7755285	 carrier_delay	2174769
126	2014	7	520880	117151	6865014	 carrier_delay	2100005
127	2014	8	507491	105706	6066485	 carrier_delay	1832082
128	2014	9	469489	81178	4361717	 carrier_delay	1333490
129	2014	10	491011	92285	4969164	 carrier_delay	1427068
130	2014	11	462054	84657	4517246	 carrier_delay	1393829
131	2014	12	477183	110163	5951225	 carrier_delay	1866220
132	2015	1	469968	95951	5439862	 carrier_delay	1708155
133	2015	2	429191	95179	5635596	 carrier_delay	1712660
134	2015	3	504312	95452	5438910	 carrier_delay	1818680
135	2015	4	485151	82247	4619308	 carrier_delay	1490594
136	2015	5	496993	89645	5437359	 carrier_delay	1667920
137	2015	6	503897	115742	7370820	 carrier_delay	2296333
138	2015	7	520718	107627	6386504	 carrier_delay	2021379
139	2015	8	510536	94113	5616471	 carrier_delay	1819598
140	2015	9	464946	60061	3291587	 carrier_delay	1176791
141	2015	10	486165	60079	3315230	 carrier_delay	1206011
142	2015	11	467972	70571	4040704	 carrier_delay	1358705
143	2015	12	479230	96772	6059516	 carrier_delay	1896130
144	2016	1	445827	70882	4122129	 carrier_delay	1482987
145	2016	2	423889	61680	3995488	 carrier_delay	1277100
146	2016	3	479122	82569	4861570	 carrier_delay	1493321
147	2016	4	461630	66607	3848737	 carrier_delay	1287970
148	2016	5	479358	75498	4416714	 carrier_delay	1429722
149	2016	6	487637	100361	6400240	 carrier_delay	2048146
150	2016	7	502457	113601	8097727	 carrier_delay	2497902
151	2016	8	498347	103421	7021740	 carrier_delay	2339274
152	2016	9	454878	63686	3667339	 carrier_delay	1222274
153	2016	10	472626	63470	3513518	 carrier_delay	1200593
154	2016	11	450938	58871	3270250	 carrier_delay	1126229
155	2016	12	460949	103593	6634908	 carrier_delay	2127819
156	2004	1	583987	128236	6509522	weather_delay	537786
157	2004	2	553876	114517	5388895	weather_delay	364234
158	2004	3	601412	104031	4986958	weather_delay	214701
159	2004	4	582970	93754	4217846	weather_delay	191870
160	2004	5	594457	121019	6981742	weather_delay	529168
161	2004	6	588792	148726	8257792	weather_delay	702461
162	2004	7	614166	135999	7570677	weather_delay	466874
163	2004	8	623107	123884	6704797	weather_delay	471948
164	2004	9	585125	75147	3706807	weather_delay	227281
165	2004	10	610037	108341	4783704	weather_delay	319073
166	2004	11	584610	113696	5731901	weather_delay	416112
167	2004	12	606731	154041	8247684	weather_delay	595952
168	2005	1	594923	143316	7621044	weather_delay	601992
169	2005	2	545332	111897	5470941	weather_delay	315848
170	2005	3	617540	131384	6825241	weather_delay	377667
171	2005	4	594492	90137	4264225	weather_delay	242815
172	2005	5	614802	93619	4564393	weather_delay	257587
173	2005	6	609195	139742	7817086	weather_delay	494727
174	2005	7	627961	166767	10281610	weather_delay	727936
175	2005	8	630904	141431	7580697	weather_delay	507289
176	2005	9	574253	87235	4050498	weather_delay	200089
177	2005	10	592712	99904	4991000	weather_delay	287169
178	2005	11	566138	106543	5203843	weather_delay	257998
179	2005	12	572343	154090	7829941	weather_delay	442673
180	2006	1	581287	112299	5852565	weather_delay	350723
181	2006	2	531247	118610	5930072	weather_delay	333845
182	2006	3	605217	135897	6994427	weather_delay	333336
183	2006	4	585351	118715	5972654	weather_delay	273740
184	2006	5	602919	122693	6388249	weather_delay	322533
185	2006	6	598315	150683	8832066	weather_delay	608474
186	2006	7	621244	150771	8902264	weather_delay	551181
187	2006	8	628732	140784	7646042	weather_delay	452936
188	2006	9	584937	127900	7028322	weather_delay	405927
189	2006	10	611718	153067	8328588	weather_delay	439564
190	2006	11	586197	126990	6611296	weather_delay	335112
191	2006	12	604758	157128	8700494	weather_delay	446472
192	2007	1	621559	150144	7856768	weather_delay	505125
193	2007	2	565604	158435	8883527	weather_delay	646296
194	2007	3	639209	152689	8593413	weather_delay	404860
195	2007	4	614648	136991	7442252	weather_delay	317424
196	2007	5	631609	131298	6864579	weather_delay	382267
197	2007	6	629280	181502	11431169	weather_delay	803209
198	2007	7	648560	180319	10815811	weather_delay	698240
199	2007	8	653279	170851	10065908	weather_delay	547181
200	2007	9	600187	102383	5294460	weather_delay	246889
201	2007	10	629992	128977	6674331	weather_delay	287745
202	2007	11	605149	113680	5782072	weather_delay	203195
203	2007	12	616382	196759	11261442	weather_delay	702867
204	2008	1	605765	148807	8366662	weather_delay	429828
205	2008	2	569236	156237	9021911	weather_delay	544326
206	2008	3	616090	157370	8849075	weather_delay	474687
207	2008	4	598126	122169	6444535	weather_delay	268806
208	2008	5	606293	120126	6213330	weather_delay	240013
209	2008	6	608665	164260	9872272	weather_delay	571832
210	2008	7	627931	140050	8764946	weather_delay	555794
211	2008	8	612279	120481	7096074	weather_delay	398906
212	2008	9	540908	71149	3633943	weather_delay	157032
213	2008	10	556205	73517	3507010	weather_delay	105092
214	2008	11	523272	81922	4318569	weather_delay	139442
215	2008	12	544956	168647	10549666	weather_delay	747959
216	2009	1	532339	108656	5611991	weather_delay	367294
217	2009	2	488410	78087	4103172	weather_delay	151866
218	2009	3	557422	107408	5927648	weather_delay	285155
219	2009	4	537793	102681	6082404	weather_delay	353424
220	2009	5	546832	100688	5226313	weather_delay	238418
221	2009	6	557594	122886	7227702	weather_delay	414439
222	2009	7	580134	121429	6845519	weather_delay	330616
223	2009	8	568301	108382	5983797	weather_delay	283920
224	2009	9	510852	66762	3314004	weather_delay	143152
225	2009	10	531799	114549	5800543	weather_delay	208114
226	2009	11	509540	54740	2619958	weather_delay	72053
227	2009	12	529269	132020	7262768	weather_delay	441926
228	2010	1	521809	96928	5124918	weather_delay	258297
229	2010	2	483270	95021	5125358	weather_delay	308111
230	2010	3	549262	100534	5504552	weather_delay	227050
231	2010	4	529330	73184	3670504	weather_delay	121930
232	2010	5	542747	100683	5633379	weather_delay	277376
233	2010	6	551687	120007	6932380	weather_delay	324997
234	2010	7	570788	122900	7007931	weather_delay	340059
235	2010	8	569217	97597	5225837	weather_delay	200689
236	2010	9	526107	72738	3639279	weather_delay	144822
237	2010	10	545519	82391	4254474	weather_delay	145112
238	2010	11	520999	83138	3930223	weather_delay	109983
239	2010	12	539382	129763	7208663	weather_delay	326786
240	2011	1	494400	97078	5031105	weather_delay	227464
241	2011	2	455516	92709	5045776	weather_delay	258294
242	2011	3	526687	101542	5450447	weather_delay	141124
243	2011	4	507024	112528	6356338	weather_delay	247048
244	2011	5	520612	107145	6353443	weather_delay	344779
245	2011	6	528588	111137	6609930	weather_delay	315736
246	2011	7	547219	110478	6650110	weather_delay	280585
247	2011	8	541442	96632	5747490	weather_delay	303533
248	2011	9	487468	73512	3888719	weather_delay	134094
249	2011	10	504397	68219	3441542	weather_delay	104732
250	2011	11	478040	66279	3335437	weather_delay	76733
251	2011	12	493888	72613	3765605	weather_delay	124251
252	2012	1	486133	70908	3850425	weather_delay	215457
253	2012	2	464826	58987	2992529	weather_delay	116626
254	2012	3	521628	86476	4744040	weather_delay	199416
255	2012	4	505218	63639	3310043	weather_delay	144825
256	2012	5	518423	80453	4486545	weather_delay	235352
257	2012	6	526933	94684	5526265	weather_delay	218325
258	2012	7	545131	121396	7643674	weather_delay	380130
259	2012	8	540793	104434	6166141	weather_delay	222523
260	2012	9	490199	77075	4262193	weather_delay	109777
261	2012	10	515254	86545	4466517	weather_delay	89858
262	2012	11	488006	63834	3443886	weather_delay	99977
263	2012	12	494218	106727	6024434	weather_delay	247544
264	2013	1	509519	88210	4798252	weather_delay	233603
265	2013	2	469746	83565	4493830	weather_delay	190890
266	2013	3	552312	101743	5704792	weather_delay	226006
267	2013	4	536393	111306	6648035	weather_delay	270386
268	2013	5	548642	105278	6097504	weather_delay	260324
269	2013	6	552141	143184	9360395	weather_delay	508863
270	2013	7	571623	142559	8728724	weather_delay	343062
271	2013	8	562921	112650	6111797	weather_delay	206418
272	2013	9	510806	77134	4196632	weather_delay	158422
273	2013	10	535344	81338	3918255	weather_delay	78051
274	2013	11	503296	77352	3945789	weather_delay	109446
275	2013	12	516739	144958	7933597	weather_delay	388682
276	2014	1	471949	119994	7687929	weather_delay	578051
277	2014	2	430602	101440	5817661	weather_delay	286760
278	2014	3	503758	102297	5352248	weather_delay	163780
279	2014	4	483499	91806	4879163	weather_delay	142051
280	2014	5	499278	104145	6093824	weather_delay	270690
281	2014	6	502617	129706	7755285	weather_delay	379880
282	2014	7	520880	117151	6865014	weather_delay	319170
283	2014	8	507491	105706	6066485	weather_delay	291580
284	2014	9	469489	81178	4361717	weather_delay	127408
285	2014	10	491011	92285	4969164	weather_delay	132092
286	2014	11	462054	84657	4517246	weather_delay	155442
287	2014	12	477183	110163	5951225	weather_delay	141765
288	2015	1	469968	95951	5439862	weather_delay	263087
289	2015	2	429191	95179	5635596	weather_delay	411265
290	2015	3	504312	95452	5438910	weather_delay	228661
291	2015	4	485151	82247	4619308	weather_delay	221590
292	2015	5	496993	89645	5437359	weather_delay	336555
293	2015	6	503897	115742	7370820	weather_delay	380699
294	2015	7	520718	107627	6386504	weather_delay	232468
295	2015	8	510536	94113	5616471	weather_delay	265792
296	2015	9	464946	60061	3291587	weather_delay	137043
297	2015	10	486165	60079	3315230	weather_delay	109225
298	2015	11	467972	70571	4040704	weather_delay	186950
299	2015	12	479230	96772	6059516	weather_delay	326898
300	2016	1	445827	70882	4122129	weather_delay	201062
301	2016	2	423889	61680	3995488	weather_delay	210953
302	2016	3	479122	82569	4861570	weather_delay	173779
303	2016	4	461630	66607	3848737	weather_delay	134966
304	2016	5	479358	75498	4416714	weather_delay	224874
305	2016	6	487637	100361	6400240	weather_delay	307635
306	2016	7	502457	113601	8097727	weather_delay	424589
307	2016	8	498347	103421	7021740	weather_delay	278303
308	2016	9	454878	63686	3667339	weather_delay	145223
309	2016	10	472626	63470	3513518	weather_delay	65068
310	2016	11	450938	58871	3270250	weather_delay	104498
311	2016	12	460949	103593	6634908	weather_delay	335133
312	2004	1	583987	128236	6509522	nas_delay	2310463
313	2004	2	553876	114517	5388895	nas_delay	1996455
314	2004	3	601412	104031	4986958	nas_delay	1787331
315	2004	4	582970	93754	4217846	nas_delay	1505284
316	2004	5	594457	121019	6981742	nas_delay	2665016
317	2004	6	588792	148726	8257792	nas_delay	2750596
318	2004	7	614166	135999	7570677	nas_delay	2437579
319	2004	8	623107	123884	6704797	nas_delay	2054527
320	2004	9	585125	75147	3706807	nas_delay	1266018
321	2004	10	610037	108341	4783704	nas_delay	1545249
322	2004	11	584610	113696	5731901	nas_delay	1862361
323	2004	12	606731	154041	8247684	nas_delay	2291475
324	2005	1	594923	143316	7621044	nas_delay	2373719
325	2005	2	545332	111897	5470941	nas_delay	1876506
326	2005	3	617540	131384	6825241	nas_delay	2209616
327	2005	4	594492	90137	4264225	nas_delay	1298076
328	2005	5	614802	93619	4564393	nas_delay	1385878
329	2005	6	609195	139742	7817086	nas_delay	2445503
330	2005	7	627961	166767	10281610	nas_delay	3128157
331	2005	8	630904	141431	7580697	nas_delay	2227201
332	2005	9	574253	87235	4050498	nas_delay	1238216
333	2005	10	592712	99904	4991000	nas_delay	1689471
334	2005	11	566138	106543	5203843	nas_delay	1797001
335	2005	12	572343	154090	7829941	nas_delay	2376853
336	2006	1	581287	112299	5852565	nas_delay	1805841
337	2006	2	531247	118610	5930072	nas_delay	1803968
338	2006	3	605217	135897	6994427	nas_delay	2089504
339	2006	4	585351	118715	5972654	nas_delay	1741250
340	2006	5	602919	122693	6388249	nas_delay	1927774
341	2006	6	598315	150683	8832066	nas_delay	2332203
342	2006	7	621244	150771	8902264	nas_delay	2282707
343	2006	8	628732	140784	7646042	nas_delay	2022056
344	2006	9	584937	127900	7028322	nas_delay	2317486
345	2006	10	611718	153067	8328588	nas_delay	2738419
346	2006	11	586197	126990	6611296	nas_delay	2195925
347	2006	12	604758	157128	8700494	nas_delay	2353582
348	2007	1	621559	150144	7856768	nas_delay	2234312
349	2007	2	565604	158435	8883527	nas_delay	2208587
350	2007	3	639209	152689	8593413	nas_delay	2304310
351	2007	4	614648	136991	7442252	nas_delay	2205125
352	2007	5	631609	131298	6864579	nas_delay	2063976
353	2007	6	629280	181502	11431169	nas_delay	3244260
354	2007	7	648560	180319	10815811	nas_delay	2811468
355	2007	8	653279	170851	10065908	nas_delay	2701698
